tweet,gercek,gercek_ad,model_yanit,tahmin,tahmin_ad,parse_fail,dogru_mu
Gerçekten toplumdan toplanmanız gerektiğini düşünüyorum birçoğunuzun,4,Diğer/İlgisiz,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
Bu elbistan ın yollarının halıı nolucu ola bugün bi cukara düştüm arabanın içinde 3.1 şiddetinde deprem oldu mk,4,Diğer/İlgisiz,Altyapı Hasarı,2,Altyapı Hasarı,False,False
"Sayın Bakan, biz sarayda mı yaşıyoruz ki klimayı sonuna kadar açalım? Evimizde kazakla montla oturuyoruz. Yeri gelip üzerimize battaniye alıyoruz. Vatandaşın halinden haberiniz var mı? Derhal İstifa Enerji Fonu Oyun Büyük #Deprem",4,Diğer/İlgisiz,Yardım Talebi,0,Yardım Talebi,False,False
"Annem hastanedeydi ameliyat için, deprem oldu. Hastaneden de bilgi alamıyoruz.",1,Kayıp Bildirimi,Yardım Talebi,0,Yardım Talebi,False,False
"Amcam ve ailesi Nurdağı'nda ikamet ediyor. Tüm aile olarak arıyoruz, ses yok.",1,Kayıp Bildirimi,Yardım Talebi,0,Yardım Talebi,False,False
"Kardeşim yurt dışındaydı, eşi ve çocukları Adıyaman'da. Çocuklarına ulaşamıyoruz.",1,Kayıp Bildirimi,Yardım Talebi,0,Yardım Talebi,False,False
"Alt komşunun kızı öksürükten boğuluyor adam  yatağındankapıyı kapat diye eşine bağırıyor. Benim gidip ilgilenesim geldi, neyse siz uyuyun rahatça! El kadar bebenin ciğerini alırsınız yarın bir zahmet halının üstünden",4,Diğer/İlgisiz,Yardım Talebi,0,Yardım Talebi,False,False
"zmir'in #Seferihisar ilçesinde meydana gelen depremin ardından 60 ilden 250 kişilik arama kurtarma ekibimiz ve mobil aşevimiz erzak, battaniye, hijyen ve gıda malzemelerinden oluşan ilk yardım malzemeleriyle Reyhanlı’dan #deprem bölgesine hareket etti.",4,Diğer/İlgisiz,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"İzmir’de meydana gelen deprem nedeniyle, 15 Temmuz Şehitler Meydanı’nda kurulan çadıra bağışta bulunabilirsiniz.  Teslim edeceğiniz, “Sıfır battaniye, kuru gıda, ısıtıcı ve hijyen malzemeleri”, deprem mağduru vatandaşlarımıza ulaştırılacaktır.  Şimdi İzmir için birlik vakti!",4,Diğer/İlgisiz,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"Halam ve 3 çocuğu Hatay Samandağ'da. Hepsine ayrı ayrı arıyoruz, hiçbiri açmıyor.",1,Kayıp Bildirimi,Yardım Talebi,0,Yardım Talebi,False,False
HERKES KAÇTI O ARKADAŞINI BIRAKMADI  Tayvan’da meydana gelen 6.8’lik deprem sırasında bir okulda tüm sınıf kaçarken ayağı sakat arkadaşını kurtaran çocuk sosyal medyanın gündemine düştü.,4,Diğer/İlgisiz,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"Annem 65 yaşında Adıyaman Gölbaşı'nda tek başına yaşıyor. Ulaşamıyorum, çok endişeliyim.",1,Kayıp Bildirimi,Yardım Talebi,0,Yardım Talebi,False,False
Bir var bir yok  Onlar öğrenci tam anlamı ile çalışmadı  Bir çalışma yaptırıyorum bir yok  Nedir bu ya çocuk oyuncağı yaptınız. Ummadığınız staj mağdurları ve ailleri sandıkta deprem etkisi yaratacak  Biz çocuk değiliz seçmeniz  Sigorta geçersiz olsa da oyumuz geçerli  #OyumStaja,4,Diğer/İlgisiz,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"*TEYİTLİ BİLGİ* Az önce arkadışımla konuştum. Hatay Defne ilçesi , Dursunlu mahallesi acil çadır ve battaniye ihtiyaçları var özellikle çadır hava çok soğuk çocuklar soğuktan üstlerine poşet vb. ne bulsalar serecek duruma gelmişler.  İletişim Ahmet Uygun +905355488676",0,Yardım Talebi,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"Ablam hastanede hemşire, depremde vardiyasındaydı. Hastaneden bilgi veremiyorlar.",1,Kayıp Bildirimi,Yardım Talebi,0,Yardım Talebi,False,False
"Bu Rüya gibi İtalyan Kasabası, Oraya Taşınmanız İçin Size devlet 30.000 Dolar Ödeyeceka",4,Diğer/İlgisiz,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"Kardeşim eczanede çalışıyordu, eczane çökmüş. Çalışanlardan haber yok.",1,Kayıp Bildirimi,Altyapı Hasarı,2,Altyapı Hasarı,False,False
