tweet,gercek,gercek_ad,model_yanit,tahmin,tahmin_ad,parse_fail,dogru_mu
"Islahiye'de doğalgaz dağıtım merkezi hasar gördü, gaz verilemiyor.",2,Altyapı Hasarı,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
AFET BÖLGESİNE MALZEME YOLLAYCAĞIZ AMA TIR BULAMIYORUZ ÇEVRENİZDE ÜCRETİ KARŞILIĞINDA ANTEP NURDAĞINA GİDECEK TIR VARSA YÖNLENDİRİR MİSİNİZ İSTANBULDAN KALKIP GAZİANTEP NURDAĞINA GİDİCEK 0545 572 89 27 BÜNYAMİN BALLI,3,Bağış/Koordinasyon,Diğer/İlgisiz,4,Diğer/İlgisiz,False,False
Gerçekten toplumdan toplanmanız gerektiğini düşünüyorum birçoğunuzun,4,Diğer/İlgisiz,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"Tozkoparanda Skandal Bitmiyor #deprem olacak bahanesi ile  İnsanları zorla evlerinden atan Güngören belediyesi yardımcısı  @ucan_za   Bu çocuk daha 8 yaşında Bunun hesabını kim verecek Zulmü durduramıyorsanız, bari paylaşın Tozkoparan Bizimdir",4,Diğer/İlgisiz,Yardım Talebi,0,Yardım Talebi,False,False
Onun en ufak bir cümlesi bir kelimesi içimi sıcacık yapmaya yetiyor hiç birinize ihtiyacım yokk,4,Diğer/İlgisiz,Kayıp Bildirimi,1,Kayıp Bildirimi,False,False
"Kahramanmaraş'ta tren garı çökmüş, raylar hasar görmüş.",2,Altyapı Hasarı,Kayıp Bildirimi,1,Kayıp Bildirimi,False,False
"Babam gece yarısı depremde dışarı çıkmış, o tarihten beri kayıp.",1,Kayıp Bildirimi,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
"Annem hastanedeydi ameliyat için, deprem oldu. Hastaneden de bilgi alamıyoruz.",1,Kayıp Bildirimi,Altyapı Hasarı,2,Altyapı Hasarı,False,False
"IBAN: TR00 0000 0000 0000 0000 0000 00 — Deprem yardım fonu, AFAD onaylı.",3,Bağış/Koordinasyon,Yardım Talebi,0,Yardım Talebi,False,False
Hatay Defne'de zemin çökmesi nedeniyle sokaklar ulaşıma kapandı.,2,Altyapı Hasarı,Bağış/Koordinasyon,3,Bağış/Koordinasyon,False,False
